Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist (C),$65.00 - $75.00 Per Hour (Employer est.),"The Team:
At Client’s Artificial Intelligence Center of Excellence (AI COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. Collect requirements and deliver high value AI/ML solutions that drive customer, shareholder, and business value. The AI COE houses some of the highest caliber scientists, mathematicians and statisticians who implement the use of rigorous AI & quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry. We are looking for an experienced Data Science AI Engineer to join our team at client you will play a critical role in developing and fine-tuning AI models using the Vertex.AI platform. The ideal candidate should have a strong background in natural language processing (NLP), machine learning, and software engineering. Your expertise in AI prompt engineering, coupled with proficiency in the Vertex.AI platform, will be essential in creating high-quality AI models to enhance the capabilities of client.",-1,IVID TEK INC,Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist / ML Engineer (REMOTE /Contract),-1,"Role: Data Scientist / Machine Learning Engineer
Location: REMOTE
Duration: 6+ months
Scheduling Interviews
Skills/Experience:
6+ years of experience working in Data Science and Machine Learning field.
Extensive experience in applying data preprocessing, statistical analysis, data analytics tools, predictive modelling, model deployment and evidence-based approaches to find lean, actionable solutions to various real-world enterprise business problems.",3.5 ★,Glow Networks3.5 ★,Remote,51 to 200 Employees,2003,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Senior Data Scientist,$117K - $152K (Glassdoor est.),"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who use new technologies, dynamic insights and over 157 years of experience to connect farmers with markets, customers with ingredients, and people and animals with the food they need to thrive.

Cargill, Incorporated seeks a full-time Senior Data Scientist. The Senior Data Scientist works collaboratively in multidisciplinary teams to develop complex proof of concepts, minimum viable products, and fully deployable solutions.

This position requires
a Master’s degree or equivalent in Applied Mathematics, Data Science, or a related field and 3 years related experience.
Must also have 12 months of experience (which may have been gained concurrently) with each of the following:
(1) analyzing and modeling data using mathematical and statistical concepts to understand complex business issues and provide insight to decision makers;
(2) implementing Machine Leaning algorithms using Python and cloud infrastructure, including AWS, Azure and GCP;
(3) developing computer vision, audio and forecasting models and deploying them using cloud and distributed computing resources including AWS;
(4) designing strategies and propose algorithms to analyze and leverage data from existing and new sources; and
(5) developing software programs, algorithms, dashboards, information tools and queries to clean, model, integrate and evaluate data sets.
Will accept experience gained before, during or after Master’s program.
All experience may have been gained concurrently.
Up to 10% of domestic travel required.
May telecommute from any location in the U.S.
HQ is located at 15407 McGinty Road West, Wayzata, MN 55391.
Please apply online at https://careers.cargill.com/

Equal Opportunity Employer, including Disability/Vet.",4 ★,Cargill4 ★,"Wayzata, MN",10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable
Data Scientist,$109K - $144K (Glassdoor est.),"We are a leading financial services provider committed to making decisions easier and lives better for our customers and colleagues around the world. From our environmental initiatives to our community investments, we lead with values throughout our business. To help us stand out, we help you step up, because when colleagues are healthy, respected and meaningfully challenged, we all thrive. Discover how you can grow your career, make impact and drive real change with our Winning Team today.
Working Arrangement
Hybrid
Job Description
Boston, Massachusetts
$83,440.00 USD - $154,960.00 USD
Company: John Hancock Life Insurance Company (U.S.A.)",4 ★,John Hancock4 ★,"Boston, MA",1001 to 5000 Employees,1862,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $100 million (USD)
Senior Data Scientist,$145K - $190K (Employer est.),"About AKASA

Our mission is to enable human health.

AKASA is the leading developer of AI for healthcare operations. Founded in 2019, AKASA has raised $85M in funding and has grown to more than 200 employees.

Our founding team includes Silicon Valley leaders who have founded or been founding team members of multiple companies with successful exits. Our investors include Andreessen Horowitz, BOND, and Costanoa Ventures, among others. Recognized in 2021 among Top 150 “Most Innovative Digital Health Startups” by CB Insights, Top 75 “Best Places to Work” by Modern Healthcare, Certified as a “Great Place to Work” two years in a row, and ranked #34 of Top 100 Healthcare Companies in 2021 by The Healthcare Technology Report. Learn more at www.AKASA.com.",3.4 ★,AKASA3.4 ★,Remote,1 to 50 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Jr. Data Scientist, Minerva Analytics",$75.63 Per Hour (Employer est.),"Currently enrolled in an accredited college or university Bachelor's degree program.
Majoring in Data Science, Computer Science, or a related STEM discipline.
Graduation date falls between December 2024 and June 2026.
Ability to work year-round: part-time during the school year and full-time during the summer.
Living within commutable distance to San Diego, CA.
The Jr. Data Scientist role is a unique employment opportunity for students seeking to gain on-the-job data science & analytics experience and receive excellent mentoring while completing their education. Jr. Data Scientists are immersed in an Amazon team and work on exciting, meaningful projects that impact real Amazon customers. Paired 1:1 with a Amazon Jr. Data Science Mentor, Jr. Data Scientists receive guidance and support in all aspects of their role: skill development, career advisement, project collaboration, and more! Upon successful completion of the Jr. Data Scientist Program, the opportunity for full-time employment will be available at the Amazon corporate sites in San Diego, CA.

The Jr. Data Scientist role is part of the Jr Developer Program, a unique internship program in several respects:
Jrs. who participate in the Jr. Developer Program routinely acknowledge the valuable learning experience created by the uniform excellence of their teams, mentoring offered by experienced Amazonians, and the challenge of being a principal contributor to science and software products.

Key job responsibilities
We are open to hiring candidates to work out of one of the following locations:

San Diego, CA, USA

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $15/hr in our lowest geographic market up to $75.63/hr in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",3.7 ★,Amazon.com Services LLC3.7 ★,"San Diego, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist,$26.20 - $51.39 Per Hour (Employer est.),"Description
Come join our exceptional Department of Neurobiology, and help lead the advancement of cutting-edge basic science research into explorations of the brain and central nervous system. Our research team, the Theoretical and Computational Neuroscience Laboratory (www.dipoppalab.com), is a cooperative and vibrant environment where all members are offered excellent scientific training and career mentoring. We are looking for candidates with a keen interest in gaining research experience in Computational Neuroscience, pursuing research projects, and supporting those of other team members. The Data Scientist will develop code (primarily in Python using libraries such as numpy, scikit-learn, pytorch) to support research in computational neuroscience pursued in the laboratory as well as working on their own research project. This work will include submitting jobs to high-performance computing clusters, analyzing large-scale biological and simulated datasets using machine learning tools, and training artificial neural network models. UCLA Health is a world-renowned health system with four award-winning hospitals and dozens of primary care practices, specialty practices, urgent care centers and other ancillary locations throughout metro Los Angeles as well as the David Geffen School of Medicine, which is an internationally-respected center of advanced medical education and research. If you’re looking to experience greater challenge and fulfillment in your career, you can at UCLA Health. Salary range: $26.20-$51.39 Hourly",3.8 ★,UCLA Health3.8 ★,"Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Scientist [Dept: AMP Data Science/Analytics US],-1,"Summary
Posted: Aug 2, 2023
Weekly Hours: 40
Role Number:200494266
Imagine what you can do here. Apple is a place where extraordinary people gather to do their lives best work. Together we create products and experiences people once couldn’t have imagined, and now, can’t imagine living without. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do.
Key Qualifications",4.2 ★,Apple4.2 ★,"Culver City, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,-1,"Revecore is an innovative, technology-driven company that is committed to helping our clients, our employees, our company, and our communities thrive. An award-winning services firm, partnering with hospitals and health systems, providing the momentum they need to maintain a strong revenue cycle amid today’s evolving healthcare environment.

With a 20+ year history, Revecore is the leading provider of revenue integrity and complex claims solutions for hospitals.

We offer a dynamic and flexible work environment, full of opportunity for motivated, hands-on team players. We strive each day to solve complex business problems and find new ways to enhance the efficiency, effectiveness, and quality of our services. If those attributes resonate with you, regardless of where you are located—we want you on our team!",3.5 ★,Revecore3.5 ★,Remote,1001 to 5000 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Senior Data Scientist,$101K - $131K (Employer est.),"Company Description

Reverb is the largest online marketplace dedicated to buying and selling new, used, and vintage musical instruments. Since launching in 2013, Reverb has grown into a vibrant community of buyers and sellers all over the world. By focusing on inspiring content, price transparency, musician-focused eCommerce tools, a music-savvy customer service team, and more, Reverb has created an online destination where the global music community can connect over the perfect piece of music gear.
We believe that music makes the world a better place, which is why our mission is to make the world more musical. Sales on Reverb help support Reverb Gives, which provides youth music education programs across the world with instruments they need to make music.",4 ★,Reverb4 ★,"Chicago, IL",201 to 500 Employees,2013,Company - Public,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable
Senior Data Scientist,$151K - $196K (Glassdoor est.),"Intuit is looking for innovative and hands-on Senior Data Scientist to join the Intuit AI team.

This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security and enhance customer care. Come join our collaborative and creative group of data scientists and machine learning engineers and build models that directly affect hundreds of thousands of our customers. In this role you will be building and deploying machine learning models using both analytical algorithms and deep learning approaches.",4.5 ★,Intuit4.5 ★,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
Data Scientist,$91K - $123K (Employer est.),"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Boeing Global Services (BGS) is seeking an Experienced Data Scientist to support our business in Mesa, AZ or Hazelwood, MO or Ridley Park, PA. This organization supports BGS-Government Planning and the data analyst will apply statistical and other analytics techniques to assist with producing recommendations within the fast pace environment of aerospace.
A successful candidate will understand the importance of data analytics as these positions will focus on working directly with the demand planning, new business, and the Asset management team to perform statistical and mathematical data analysis to enable the BGS business to meet their organizational goals.





U.S. Government Export Control Status: This position must meet export control compliance requirements. To meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee.

US based job, US Person required",3.9 ★,BOEING3.9 ★,"Mesa, AZ",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist Co-op - Masters Degree,$31.00 - $37.00 Per Hour (Employer est.),"About the Company
At Torc, we have always believed that autonomous vehicle technology will transform how we travel, move freight, and do business.
A leader in autonomous driving since 2007, Torc has spent over a decade commercializing our solutions with experienced partners. Now a part of the Daimler family, we are focused solely on developing software for automated trucks to transform how the world moves freight.
Join us and catapult your career with the company that helped pioneer autonomous technology, and the first AV software company with the vision to partner directly with a truck manufacturer.",4.3 ★,Torc Robotics4.3 ★,"Austin, TX",501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD)
Jr Data Scientist,$92K - $131K (Glassdoor est.),"You will be working closely with SVP of Data Science Strategy and her agile small team to develop quick prototypes and collaborate with data science development team. You will be working in a Think-tank environment to solve all sort of data science projects and turn them into new applications prototypes.
You will use the right combination of methods, models, data, or analytic tools to transform data into actionable intelligence.
Join us and be part of a best-in-class data science team that wants to push the ML and AI boundaries in the Ad-tech and Mar-Tech worlds.

Responsibilities",3.8 ★,Choreograph3.8 ★,"New York, NY",10000+ Employees,2003,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
"Data Scientist, Retail Science",$74K - $109K (Glassdoor est.),"About Carvana
If you like disrupting the norm and are looking for a company revolutionizing an industry then you will LOVE what Carvana has done for the car buying experience. Buying a car the old fashioned way sucks and we are working hard to make it NOT suck. At Carvana, our customers can hop online to...
Search and browse our inventory of over 20,000 vehicles that we own and certify.
Narrow down search results using highly intelligent filtering tools/components.
View vehicle details, Carfax reports, and 360 rotating studio images for every vehicle.",2.9 ★,Carvana2.9 ★,"Tempe, AZ",10000+ Employees,2013,Company - Public,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable
"Director, Data Science",$136K - $195K (Glassdoor est.),"Gannett Co., Inc. (NYSE: GCI) is a subscription-led and digitally-focused media and marketing solutions company committed to empowering communities to thrive. With an unmatched reach at the national and local level, Gannett touches the lives of millions with our Pulitzer Prize-winning content, consumer experiences and benefits, and advertiser products and services.

Our current portfolio of media assets includes The USA TODAY NETWORK, which includes USA TODAY, and local media organizations in 43 states in the United States, and Newsquest, a wholly-owned subsidiary operating in the United Kingdom. We also own digital marketing services companies under the brand LocaliQ, which provide a cloud-based platform of products to enable small and medium-sized businesses to accomplish their marketing goals. In addition, our portfolio includes one of the largest media-owned events businesses in the U.S., USA TODAY NETWORK Ventures.

Gannett open roles are featured on various external job boards. When applying to a position at Gannett, you should be completing an application on Gannett Careers via Dayforce. Job postings directing you to complete an application on other external sites may not be valid.

To connect with us, visit www.gannett.com

Gannett is seeking a highly experienced and visionary Director, Data Science to lead our data-driven initiatives and maximize the value of our data assets. As the Director, Data Science, you will be responsible for overseeing the development and implementation of data science strategies, managing a team of data scientists, and collaborating closely with cross-functional stakeholders to drive data insights and innovation. This is a strategic leadership role that requires a deep understanding of data science methodologies, exceptional analytical skills, and the ability to translate complex technical concepts into actionable business strategies.

The Director, Data Science is tasked with consistently identifying and monitoring key business risks and realizing the data needs of the business. You will manage a team of data scientists who have both technical savvy and the ability to understand how their work drives business results. You will lead the process to further intensify our focus on data science – using it to analyze our past performance as well as build a data science and modeling engine that will help us predict the future.








#PRODUCTGNT
#LI-SG1
#LI-REMOTE

Gannett Co., Inc. is a proud equal opportunity employer committed to building and maintaining a diverse workforce. As such, we will consider all qualified applicants for employment and do not discriminate in connection with employment decisions on the basis of an applicant or employee’s race, color, national origin, ethnicity, ancestry, citizenship status, sex, gender, gender identity, gender expression, religion, age, marital status, personal appearance (including height and weight), sexual orientation, family responsibilities, physical or mental disability, medical condition, pregnancy status (including childbirth, breastfeeding or related medical conditions), education, genetic characteristics or information, political affiliation, military or veteran status or other classifications protected by applicable federal, state and local laws in the jurisdictions where Gannett employs employees. In addition, Gannett Co., Inc. will provide applicants who require a reasonable accommodation, as a result of an applicant’s disability or religion, to complete this employment application and/or any other process in connection with an individuals’ application for employment with Gannett Co., Inc. Applicants who require such accommodation should contact Gannett Co., Inc.’s Recruitment Department at Recruit@gannett.com.",3 ★,Gannett3 ★,"McLean, VA",10000+ Employees,1906,Company - Public,Publishing,Media & Communication,$1 to $5 billion (USD)
Junior Data Scientist,$80K - $90K (Employer est.),"Fremont, California
Type: Full-time
Min. Experience: Some Experience
Salary: $80,000 - $90,000

As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.",3.5 ★,SoundThinking3.5 ★,"Fremont, CA",201 to 500 Employees,1996,Company - Public,Software Development,Information Technology,$25 to $100 million (USD)
Sr. Data Scientist,$100K - $150K (Employer est.),"MedeAnalytics is a leader in healthcare analytics, providing innovative solutions that enable measurable impact for healthcare payers and providers. With the most advanced data orchestration in healthcare, payers and providers count on us to deliver actionable insights that improve financial, operational, and clinical outcomes. To date, we’ve helped uncover millions of dollars in savings annually.
The Senior Data Scientist will produce innovative solutions driven by exploratory data analysis from complex and high-dimensional data sets. The Senior Data Scientist uses a flexible, analytical approach to design, develop, evaluate, and deploy robust solutions leveraging innovations in data science, machine learning, and predictive modeling techniques. To do this job successfully, you need exceptional skills in statistics, data modeling, advanced mathematics, and programming. The Senior Data Scientist should be able to independently complete responsibilities.",2.9 ★,MedeAnalytics2.9 ★,Remote,201 to 500 Employees,1993,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD)
SENIOR DATA SCIENTIST,$75K (Employer est.),"Nature of Work
THIS RECRUITMENT IS A SUPPLEMENTAL POSTING TO THE ORIGINAL RECRUITMENT (MARCH 27 - APRIL 21, 2023). APPLICANTS WHO APPLIED DURING THAT PERIOD AND WERE DEEMED INELIGIBLE BUT MEETS THE MINIMUM REQUIREMENTS LIST BELOW AND WISH TO BE CONSIDERED FOR THIS POSITION MUST RE-APPLY. PLEASE REVIEW THE MINIMUM REQUIREMENTS BELOW!!

This is advanced, highly technical, and specialized role will be instrumental in bringing data to the center of business and enable data as the driver for decision making in the City.

The Senior Data Scientist will work with stakeholders in the design, implementation, and administration of data strategy and is responsible for assessing the state of the City’s current data sources, recommending and co-designing data architecture, extracting and cleaning data, providing recommendations on data governance and creating insightful analytics, visuals, and dashboards to inform decision makers. Work involves the consistent exercise of discretion and judgment and is performed under general supervision. Work is predominantly intellectual and varied in character as opposed to routine mental, manual, mechanical, or physical work. An employee of this class works independently and may supervise the work of lower level professionals and technical staff members. Reports to a higher-level administrator.",3.8 ★,"City of Miami, FL3.8 ★","Miami, FL",1001 to 5000 Employees,1896,Government,Municipal Agencies,Government & Public Administration,$1 to $5 million (USD)
College Graduate - Data Science (BS/MS),$106K - $159K (Employer est.),"Job Description

Intel is a company of bold and curious inventors and problem solvers who create some of the most astounding technology advancements and experiences in the world.

With a legacy of relentless innovation and a commitment to bring smart, connected devices to every person on Earth, our diverse and brilliant teams are continually searching for tomorrow's technology and revel in the challenge that changing the world for the better brings. We work every single day to design and manufacture silicon products that empower peoples digital lives.

Do you love to solve technical challenges that no one has solved yet? Do you enjoy working with cross functional teams to deliver IP solutions for products that impact customers lives? If so, Come join us to do something wonderful.

We are looking for world class data engineers to help us build the future of technology.














Intel's Human Resources group is responsible for hiring, developing and retaining the best and brightest employees while continuing to strengthen the company's culture and values. Intel Human Resources provides first-rate, cost-effective services and support to employees worldwide and is dedicated to advancing Intel's business goals.

US, NM, Albuquerque; US, OR, Hillsboro; US, TX, Austin; US, CA, Folsom; US, CA, Santa Clara; US, GA, Atlanta

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Annual Salary Range for jobs which could be performed in US, California: $105,930.00-$158,890.00


This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",4.1 ★,INTEL4.1 ★,"Santa Clara, CA",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist Associate I,-1,"Organization:
VMAC Department
Job Summary:
Discover Vanderbilt University Medical Center: Located in Nashville, Tennessee, and operating at a global crossroads of teaching, discovery, and patient care, VUMC is a community of diverse individuals who come to work each day with the simple aim of changing the world. It is a place where your expertise will be valued, your knowledge expanded, and your abilities challenged. Vanderbilt Health recognizes that diversity is essential for excellence and innovation. We are committed to an inclusive environment where everyone has the chance to thrive and where your diversity of culture, thinking, learning, and leading is sought and celebrated. It is a place where employees know they are part of something that is bigger than themselves, take exceptional pride in their work and never settle for what was good enough yesterday. Vanderbilt’s mission is to advance health and wellness through preeminent programs in patient care, education, and research.

JOB SUMMARY
Data Scientists perform detailed analyses of large bodies of heterogeneous data to discover new patterns and insights that impact patient health or augment human capabilities. Data Scientists have deep expertise in the methods used to analyze data and deep knowledge of data types, topics, and scientific challenges and approaches that will be used to help inform and define new products, experiences, and technologies. This position works in conjunction with Data Science and Informatics faculty to provide technical thought leadership and works closely with Informatics and IT teams to create data and intelligence-driven systems to solve complex client problems.


Organizational Impact: Delivers job responsibilities that impact own job area/team with some guidance. Problem Solving/ Complexity of work: Uses existing procedures, research and analysis to solve standard job related problems that may require some judgement. Breadth of Knowledge: Requires subject matter knowledge within a professional area to meet job requirements. Team Interaction: Individually contributes to project/ work teams.
Supporting Colleagues: - Develops Self and Others: Continuously improves own skills by identifying development opportunities.- Builds and Maintains Relationships: Seeks to understand colleagues priorities, working styles and develops relationships across areas. - Communicates Effectively: Openly shares information with others and communicates in a clear and courteous manner. Delivering Excellent Services: - Serves Others with Compassion: Invests time to understand the problems, needs of others and how to provide excellent service. - Solves Complex Problems: Seeks to understand issues, solves routine problems, and raises proper concerns to supervisors in a timely manner. - Offers Meaningful Advice and Support: Listens carefully to understand the issues and provides accurate information and support. Ensuring High Quality: - Performs Excellent Work: Checks work quality before delivery and asks relevant questions to meet quality standards.- Ensures Continuous Improvement: Shows eagerness to learn new knowledge, technologies, tools or systems and displays willingness to go above and beyond. - Fulfills Safety and Regulatory Requirements: Demonstrates basic knowledge of conditions that affect safety and reports unsafe conditions to the appropriate person or department. Managing Resources Effectively :- Demonstrates Accountability: Takes responsibility for completing assigned activities and thinks beyond standard approaches to provide high-quality work/service. - Stewards Organizational Resources: Displays understanding of how personal actions will impact departmental resources. - Makes Data Driven Decisions: Uses accurate information and good decision making to consistently achieve results on time and without error. Fostering Innovation: - Generates New Ideas: Willingly proposes/accepts ideas or initiatives that will impact day-to-day operations by offering suggestions to enhance them.- Applies Technology: Absorbs new technology quickly; understands when to utilize the appropriate tools and procedures to ensure proper course of action. - Adapts to Change: Embraces changes by keeping an open mind to changing plans and incorporates change instructions into own area of work.
Relevant Work Experience
3 years
Master's",3.7 ★,Vanderbilt University Medical Center3.7 ★,"Nashville, TN",10000+ Employees,1874,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
Data Scientist,$85K - $205K (Employer est.),"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: We are looking for a Data Scientist with exceptional problem-solving skills, strong business-oriented mindset, robust bias for action and deep intellectual curiosity to develop and deploy analytics and insight solutions to unlock potential commercial opportunities for PayPal, drive initiatives to optimize sales operations and partner on strategic projects with other stakeholders and teams. You will be a part of PayPal’s Global Analytics and Data Science organization, working alongside a team of solution-focused, results-driven, energetic and collaborative Data Scientists and Business Analysts to solve some of the most challenging analytical problems with significant and direct impact to PayPal’s growth and continued leadership in the payment space. You will serve as the analytical expert and trusted thought partner by working extremely closely with PayPal’s Global and Enterprise Account sales team. And you will be interacting with a wide range of cross-functional teams on a regular basis.
PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $84500 to $204600",3.9 ★,PayPal3.9 ★,"New York, NY",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist III,$150K - $200K (Employer est.),"Condé Nast is a global media company producing the highest quality content with a footprint of more than 1 billion consumers in 32 territories through print, digital, video and social platforms. The company’s portfolio includes many of the world’s most respected and influential media properties including Vogue, Vanity Fair, Glamour, Self, GQ, The New Yorker, Condé Nast Traveler/Traveller, Allure, AD, Bon Appétit and Wired, among others. Condé Nast Entertainment was launched in 2011 to develop film, television and premium digital video programming.
Job Description
Location:
New York, NY
Condé Nast is a premier media company renowned for producing the highest quality content for the world's most influential audiences, attracting over 100 million consumers across its industry-leading print, digital, and video brands.",3.7 ★,Conde Nast3.7 ★,"New York, NY",501 to 1000 Employees,1909,Company - Public,Publishing,Media & Communication,Unknown / Non-Applicable
